Bart Station,Daily Mean Travel Time (Seconds),AM Mean Travel Time (Seconds),PM Mean Travel Time (Seconds),Midday Mean Travel Time (Seconds),Evening Mean Travel Time (Seconds),Early Morning Mean Travel Time (Seconds)
Embarcadero Station,579.1602209944751,548.6022727272727,771.707182320442,606.7348066298342,488.6777777777778,438.8926553672316
Montgomery BART Station,481.98342541436466,455.49418604651163,598.0,522.2388888888889,425.68888888888887,376.8314606741573
Powell BART Station,775.767955801105,767.2027027027027,930.9516129032259,799.8482142857143,699.5514018691589,636.9
